Created by PLY version 3.4 (http://www.dabeaz.com/ply)

Grammar

Rule 0     S' -> Pgm
Rule 1     Pgm -> Declstar
Rule 2     Declstar -> empty
Rule 3     Declstar -> Decl Declstar
Rule 4     empty -> <empty>
Rule 5     Decl -> VarDecl
Rule 6     Decl -> FunDecl
Rule 7     Decl -> ClassDecl
Rule 8     VarDecl -> Type VarList SEMICOLON
Rule 9     FunDecl -> Type Var LPAREN FormalsQ RPAREN Stmt
Rule 10    ClassDecl -> CLASS class_name ExtendsQ LCURLY MemberDeclstar RCURLY
Rule 11    class_name -> animal
Rule 12    class_name -> dog
Rule 13    ExtendsQ -> empty
Rule 14    ExtendsQ -> Extends
Rule 15    Extends -> EXTENDS class_name
Rule 16    MemberDeclstar -> empty
Rule 17    MemberDeclstar -> MemberDecl MemberDeclstar
Rule 18    MemberDecl -> VarDecl
Rule 19    MemberDecl -> FunDecl
Rule 20    FormalsQ -> empty
Rule 21    FormalsQ -> Formals
Rule 22    VarDeclstar -> empty
Rule 23    VarDeclstar -> VarDecl VarDeclstar
Rule 24    Type -> INT
Rule 25    Type -> BOOL
Rule 26    Type -> VOID
Rule 27    Type -> Type LSQR RSQR
Rule 28    Type -> animal
Rule 29    Type -> dog
Rule 30    VarList -> Var COMMA VarList
Rule 31    VarList -> Var
Rule 32    Var -> IDENTIFIER Dimstar
Rule 33    Formals -> Type Var COMMA Formals
Rule 34    Formals -> Type Var
Rule 35    Stmtstar -> empty
Rule 36    Stmtstar -> Stmt Stmtstar
Rule 37    Stmt -> SE SEMICOLON
Rule 38    Stmt -> Print
Rule 39    Stmt -> Block
Rule 40    Stmt -> If
Rule 41    Stmt -> While
Rule 42    Stmt -> for
Rule 43    Stmt -> Do_while
Rule 44    Stmt -> Return
Rule 45    SE -> Assign
Rule 46    SE -> MethodCall
Rule 47    Assign -> Lhs EQUALS AE
Rule 48    Assign -> Lhs Inc
Rule 49    Assign -> Lhs Dec
Rule 50    Assign -> Inc Lhs
Rule 51    Assign -> Dec Lhs
Rule 52    Dec -> DEC
Rule 53    Inc -> INC
Rule 54    Print -> PRINT LPAREN AE RPAREN SEMICOLON
Rule 55    Block -> LCURLY VarDeclstar Stmtstar RCURLY
Rule 56    If -> IF AE THEN Stmt
Rule 57    If -> IF AE THEN Stmt ELSE Stmt
Rule 58    While -> WHILE AE DO Stmt
Rule 59    Do_while -> DO Stmt WHILE AE SEMICOLON
Rule 60    for -> FOR LPAREN SEQ SEMICOLON AEQ SEMICOLON SEQ RPAREN Stmt
Rule 61    SEQ -> empty
Rule 62    SEQ -> SE
Rule 63    AEQ -> empty
Rule 64    AEQ -> AE
Rule 65    Return -> RETURN AEQ SEMICOLON
Rule 66    Lhs -> FieldAccess
Rule 67    Lhs -> ArrayAccess
Rule 68    AE -> AE TIMES AE
Rule 69    AE -> AE SLASH AE
Rule 70    AE -> AE PLUS AE
Rule 71    AE -> AE MINUS AE
Rule 72    AE -> AE LT AE
Rule 73    AE -> AE EQ AE
Rule 74    AE -> AE GT AE
Rule 75    AE -> AE GTEQ AE
Rule 76    AE -> AE LTEQ AE
Rule 77    AE -> AE NEQ AE
Rule 78    AE -> AE LAND AE
Rule 79    AE -> AE LOR AE
Rule 80    AE -> AE MOD AE
Rule 81    AE -> MINUS AE
Rule 82    AE -> NOT AE
Rule 83    AE -> Primary
Rule 84    AE -> SE
Rule 85    AE -> NewArray
Rule 86    Primary -> intconst
Rule 87    Primary -> true
Rule 88    Primary -> false
Rule 89    Primary -> this
Rule 90    Primary -> super
Rule 91    Primary -> Input
Rule 92    Primary -> LPAREN AE RPAREN
Rule 93    Primary -> FieldAccess
Rule 94    Primary -> ArrayAccess
Rule 95    Primary -> NewObject
Rule 96    intconst -> NUMBER
Rule 97    true -> TRUE
Rule 98    false -> FALSE
Rule 99    this -> THIS
Rule 100   super -> SUPER
Rule 101   Input -> INPUT LPAREN RPAREN
Rule 102   ArrayAccess -> Primary LSQR AE RSQR
Rule 103   FieldAccess -> Primary DOT IDENTIFIER
Rule 104   FieldAccess -> IDENTIFIER
Rule 105   MethodCall -> FieldAccess LPAREN ArgsQ RPAREN
Rule 106   ArgsQ -> empty
Rule 107   ArgsQ -> Args
Rule 108   Args -> AE COMMA Args
Rule 109   Args -> AE
Rule 110   NewObject -> NEW animal LPAREN RPAREN
Rule 111   NewObject -> NEW dog LPAREN RPAREN
Rule 112   NewArray -> NEW Type DimExpr Dimstar
Rule 113   DimExpr -> LSQR AE RSQR
Rule 114   Dimstar -> empty
Rule 115   Dimstar -> Dim Dimstar
Rule 116   Dim -> LSQR RSQR

Terminals, with rules where they appear

BOOL                 : 25
CLASS                : 10
COMMA                : 30 33 108
DEC                  : 52
DO                   : 58 59
DOT                  : 103
ELSE                 : 57
EQ                   : 73
EQUALS               : 47
EXTENDS              : 15
FALSE                : 98
FOR                  : 60
GT                   : 74
GTEQ                 : 75
IDENTIFIER           : 32 103 104
IF                   : 56 57
INC                  : 53
INPUT                : 101
INT                  : 24
LAND                 : 78
LCURLY               : 10 55
LOR                  : 79
LPAREN               : 9 54 60 92 101 105 110 111
LSQR                 : 27 102 113 116
LT                   : 72
LTEQ                 : 76
MINUS                : 71 81
MOD                  : 80
NEQ                  : 77
NEW                  : 110 111 112
NOT                  : 82
NUMBER               : 96
PLUS                 : 70
PRINT                : 54
RCURLY               : 10 55
RETURN               : 65
RPAREN               : 9 54 60 92 101 105 110 111
RSQR                 : 27 102 113 116
SEMICOLON            : 8 37 54 59 60 60 65
SLASH                : 69
SUPER                : 100
THEN                 : 56 57
THIS                 : 99
TIMES                : 68
TRUE                 : 97
VOID                 : 26
WHILE                : 58 59
animal               : 11 28 110
dog                  : 12 29 111
error                : 

Nonterminals, with rules where they appear

AE                   : 47 54 56 57 58 59 64 68 68 69 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 77 78 78 79 79 80 80 81 82 92 102 108 109 113
AEQ                  : 60 65
Args                 : 107 108
ArgsQ                : 105
ArrayAccess          : 67 94
Assign               : 45
Block                : 39
ClassDecl            : 7
Dec                  : 49 51
Decl                 : 3
Declstar             : 1 3
Dim                  : 115
DimExpr              : 112
Dimstar              : 32 112 115
Do_while             : 43
Extends              : 14
ExtendsQ             : 10
FieldAccess          : 66 93 105
Formals              : 21 33
FormalsQ             : 9
FunDecl              : 6 19
If                   : 40
Inc                  : 48 50
Input                : 91
Lhs                  : 47 48 49 50 51
MemberDecl           : 17
MemberDeclstar       : 10 17
MethodCall           : 46
NewArray             : 85
NewObject            : 95
Pgm                  : 0
Primary              : 83 102 103
Print                : 38
Return               : 44
SE                   : 37 62 84
SEQ                  : 60 60
Stmt                 : 9 36 56 57 57 58 59 60
Stmtstar             : 36 55
